index	label	cifti_label	network_label	color_red	color_green	color_blue	opacity
1	DMN_LABEL_1	DMN_LABEL_1	DMN	255	0	0	255
2	Vis_LABEL_2	Vis_LABEL_2	Vis	0	0	153	255
3	FP_LABEL_3	FP_LABEL_3	FP	255	255	0	255
4	Aud_LABEL_4	Aud_LABEL_4	Aud	177	102	255	255
5	Tpole_LABEL_5	Tpole_LABEL_5	Tpole	0	102	153	255
6	PMN_LABEL_6	PMN_LABEL_6	PMN	0	0	255	255
7	PON_LABEL_7	PON_LABEL_7	PON	239	239	239	255
8	MTL_LABEL_8	MTL_LABEL_8	MTL	102	255	102	255
9	PON_LABEL_9	PON_LABEL_9	PON	239	239	239	255
10	CO_LABEL_10	CO_LABEL_10	CO	102	0	204	255
11	Sal_LABEL_11	Sal_LABEL_11	Sal	0	0	0	255
12	CO_LABEL_12	CO_LABEL_12	CO	102	0	204	255
13	SMd_LABEL_13	SMd_LABEL_13	SMd	102	255	255	255
14	SMl_LABEL_14	SMl_LABEL_14	SMl	255	128	0	255
15	DAN_LABEL_15	DAN_LABEL_15	DAN	0	255	0	255
16	DMN_LABEL_16	DMN_LABEL_16	DMN	255	0	0	255
17	CO_LABEL_17	CO_LABEL_17	CO	102	0	204	255
18	DMN_LABEL_18	DMN_LABEL_18	DMN	255	0	0	255
19	VAN_LABEL_19	VAN_LABEL_19	VAN	17	177	214	255
20	CO_LABEL_20	CO_LABEL_20	CO	102	0	204	255
21	CO_LABEL_21	CO_LABEL_21	CO	102	0	204	255
22	Sal_LABEL_22	Sal_LABEL_22	Sal	0	0	0	255
23	DAN_LABEL_23	DAN_LABEL_23	DAN	0	255	0	255
24	PMN_LABEL_24	PMN_LABEL_24	PMN	0	0	255	255
25	DAN_LABEL_25	DAN_LABEL_25	DAN	0	255	0	255
26	DMN_LABEL_26	DMN_LABEL_26	DMN	255	0	0	255
27	DMN_LABEL_27	DMN_LABEL_27	DMN	255	0	0	255
28	DMN_LABEL_28	DMN_LABEL_28	DMN	255	0	0	255
29	Vis_LABEL_29	Vis_LABEL_29	Vis	0	0	153	255
30	FP_LABEL_30	FP_LABEL_30	FP	255	255	0	255
31	Aud_LABEL_31	Aud_LABEL_31	Aud	177	102	255	255
32	Tpole_LABEL_32	Tpole_LABEL_32	Tpole	0	102	151	255
33	PMN_LABEL_33	PMN_LABEL_33	PMN	0	0	255	255
34	PON_LABEL_34	PON_LABEL_34	PON	239	239	239	255
35	MTL_LABEL_35	MTL_LABEL_35	MTL	102	255	102	255
36	CO_LABEL_36	CO_LABEL_36	CO	102	0	204	255
37	Sal_LABEL_37	Sal_LABEL_37	Sal	0	0	0	255
38	CO_LABEL_38	CO_LABEL_38	CO	102	0	204	255
39	SMd_LABEL_39	SMd_LABEL_39	SMd	102	255	255	255
40	SMl_LABEL_40	SMl_LABEL_40	SMl	255	128	0	255
41	DAN_LABEL_41	DAN_LABEL_41	DAN	0	255	0	255
42	CO_LABEL_42	CO_LABEL_42	CO	102	0	204	255
43	VAN_LABEL_43	VAN_LABEL_43	VAN	17	177	214	255
44	CO_LABEL_44	CO_LABEL_44	CO	102	0	204	255
45	CO_LABEL_45	CO_LABEL_45	CO	102	0	204	255
46	Sal_LABEL_46	Sal_LABEL_46	Sal	0	0	0	255
47	DAN_LABEL_47	DAN_LABEL_47	DAN	0	255	0	255
48	PMN_LABEL_48	PMN_LABEL_48	PMN	0	0	255	255
49	DAN_LABEL_49	DAN_LABEL_49	DAN	0	255	0	255
50	DMN_LABEL_50	DMN_LABEL_50	DMN	255	0	0	255
51	FP_LABEL_51	FP_LABEL_51	FP	255	255	0	255
52	DMN_LABEL_52	DMN_LABEL_52	DMN	255	0	0	255
53	DMN_LABEL_53	DMN_LABEL_53	DMN	255	0	0	255
54	PON_LABEL_54	PON_LABEL_54	PON	239	239	239	255
55	DMN_LABEL_55	DMN_LABEL_55	DMN	255	0	0	255
56	Tpole_LABEL_56	Tpole_LABEL_56	Tpole	0	102	153	255
57	Tpole_LABEL_57	Tpole_LABEL_57	Tpole	0	128	153	255
58	Sal_LABEL_58	Sal_LABEL_58	Sal	0	0	0	255
59	Sal_LABEL_59	Sal_LABEL_59	Sal	0	0	0	255
60	SMd_LABEL_60	SMd_LABEL_60	SMd	102	255	255	255
61	DAN_LABEL_61	DAN_LABEL_61	DAN	0	255	0	255
62	FP_LABEL_62	FP_LABEL_62	FP	255	255	0	255
63	DMN_LABEL_63	DMN_LABEL_63	DMN	255	0	0	255
64	FP_LABEL_64	FP_LABEL_64	FP	255	255	0	255
65	FP_LABEL_65	FP_LABEL_65	FP	255	255	0	255
66	SMd_LABEL_66	SMd_LABEL_66	SMd	102	255	255	255
67	SMl_LABEL_67	SMl_LABEL_67	SMl	255	128	0	255
68	SMd_LABEL_68	SMd_LABEL_68	SMd	102	255	255	255
69	DMN_LABEL_69	DMN_LABEL_69	DMN	255	0	0	255
70	DAN_LABEL_70	DAN_LABEL_70	DAN	0	255	0	255
71	DMN_LABEL_71	DMN_LABEL_71	DMN	255	0	0	255
72	FP_LABEL_72	FP_LABEL_72	FP	255	255	0	255
73	SMd_LABEL_73	SMd_LABEL_73	SMd	102	255	255	255
74	SMl_LABEL_74	SMl_LABEL_74	SMl	255	128	0	255
75	MTL_LABEL_75	MTL_LABEL_75	MTL	102	255	102	255
76	MTL_LABEL_76	MTL_LABEL_76	MTL	102	255	102	255
77	CO_LABEL_77	CO_LABEL_77	CO	102	0	204	255
78	CO_LABEL_78	CO_LABEL_78	CO	102	0	204	255
79	Vis_LABEL_79	Vis_LABEL_79	Vis	0	0	153	255
80	Vis_LABEL_80	Vis_LABEL_80	Vis	0	0	153	255
