index	label	cifti_label	network_label
1	PostDefault	Label_1	PostDefault
2	L_PostPreMotor_1	Label_2	PostPreMotor
3	L_AntDefault_1	Label_3	AntDefault
4	L_LateralVisual_1	Label_4	LateralVisual
5	L_PostDefault_1	Label_5	PostDefault
6	L_PostDefault_2	Label_6	PostDefault
7	L_InfMotor_1	Label_7	InfMotor
8	L_VentralAttn_1	Label_8	VentralAttn
9	L_Cingulate_1	Label_9	Cingulate
10	L_MedialVisual_1	Label_10	MedialVisual
11	L_MedialVisual_2	Label_11	MedialVisual
12	L_MedialVisual_3	Label_12	MedialVisual
13	L_PostDefault_3	Label_13	PostDefault
14	L_MedialVisual_4	Label_14	MedialVisual
15	L_SupMotor_1	Label_15	SupMotor
16	L_Salience_1	Label_16	Salience
17	L_Salience_2	Label_17	Salience
18	L_Cingulate_2	Label_18	Cingulate
19	L_Cingulate_3	Label_19	Cingulate
20	L_Cingulate_4	Label_20	Cingulate
21	L_Salience_3	Label_21	Salience
22	L_PostDefault_4	Label_22	PostDefault
23	L_PostDefault_5	Label_23	PostDefault
24	L_SupMotor_2	Label_24	SupMotor
25	L_SupMotor_3	Label_25	SupMotor
26	L_SupMotor_4	Label_26	SupMotor
27	L_AntPrecuneus_1	Label_27	AntPrecuneus
28	L_InfPrecuneus_1	Label_28	InfPrecuneus
29	L_AntPrecuneus_2	Label_29	AntPrecuneus
30	L_InfMotor_2	Label_30	InfMotor
31	L_InfMotor_3	Label_31	InfMotor
32	L_DorsalAttn_1	Label_32	DorsalAttn
33	L_AntDefault_2	Label_33	AntDefault
34	L_AntDefault_3	Label_34	AntDefault
35	L_SupMotor_5	Label_35	SupMotor
36	L_SupMotor_6	Label_36	SupMotor
37	L_AntPreMotor_1	Label_37	AntPreMotor
38	L_AntPreMotor_2	Label_38	AntPreMotor
39	L_AntDefault_4	Label_39	AntDefault
40	L_PostPreMotor_2	Label_40	PostPreMotor
41	L_DorsalAttn_2	Label_41	DorsalAttn
42	L_InfMotor_4	Label_42	InfMotor
43	L_DorsalAttn_3	Label_43	DorsalAttn
44	L_DorsalAttn_4	Label_44	DorsalAttn
45	L_SupMotor_7	Label_45	SupMotor
46	L_InfMotor_5	Label_46	InfMotor
47	L_InfMotor_6	Label_47	InfMotor
48	L_PostDefault_6	Label_48	PostDefault
49	L_VentralAttn_2	Label_49	VentralAttn
50	L_Auditory_1	Label_50	Auditory
51	L_Auditory_2	Label_51	Auditory
52	L_InfMotor_7	Label_52	InfMotor
53	L_PostDefault_7	Label_53	PostDefault
54	L_Auditory_3	Label_54	Auditory
55	L_Auditory_4	Label_55	Auditory
56	L_Auditory_5	Label_56	Auditory
57	L_VentralAttn_3	Label_57	VentralAttn
58	L_VentralAttn_4	Label_58	VentralAttn
59	L_Auditory_6	Label_59	Auditory
60	L_Auditory_7	Label_60	Auditory
61	L_Auditory_8	Label_61	Auditory
62	L_Auditory_9	Label_62	Auditory
63	L_Auditory_10	Label_63	Auditory
64	L_LatOrbitoFrontal_1	Label_64	LatOrbitoFrontal
65	L_Salience_4	Label_65	Salience
66	L_Insula_1	Label_66	Insula
67	L_InfFrontoParietal_1	Label_67	InfFrontoParietal
68	L_InfFrontoParietal_2	Label_68	InfFrontoParietal
69	L_MedOrbitoFrontal_1	Label_69	MedOrbitoFrontal
70	L_Insula_2	Label_70	Insula
71	L_Salience_5	Label_71	Salience
72	L_Salience_6	Label_72	Salience
73	L_LatOrbitoFrontal_2	Label_73	LatOrbitoFrontal
74	L_LateralVisual_2	Label_74	LateralVisual
75	L_PostDefault_8	Label_75	PostDefault
76	L_PostDefault_9	Label_76	PostDefault
77	L_MedialVisual_5	Label_77	MedialVisual
78	L_MedialVisual_6	Label_78	MedialVisual
79	L_SupPrecuneus_1	Label_79	SupPrecuneus
80	L_LateralVisual_3	Label_80	LateralVisual
81	L_PostDefault_10	Label_81	PostDefault
82	L_PostDefault_11	Label_82	PostDefault
83	L_PostDefault_12	Label_83	PostDefault
84	L_LateralVisual_4	Label_84	LateralVisual
85	L_PostDefault_13	Label_85	PostDefault
86	L_LateralVisual_5	Label_86	LateralVisual
87	L_PostFrontoParietal_1	Label_87	PostFrontoParietal
88	L_LateralVisual_6	Label_88	LateralVisual
89	L_LateralVisual_7	Label_89	LateralVisual
90	L_LateralVisual_8	Label_90	LateralVisual
91	L_LateralVisual_9	Label_91	LateralVisual
92	L_LateralVisual_10	Label_92	LateralVisual
93	L_LateralVisual_11	Label_93	LateralVisual
94	L_PostDefault_14	Label_94	PostDefault
95	L_InfMotor_8	Label_95	InfMotor
96	L_InfMotor_9	Label_96	InfMotor
97	L_DorsalAttn_5	Label_97	DorsalAttn
98	L_PreCentFrontoParietal_1	Label_98	PreCentFrontoParietal
99	L_LatOrbitoFrontal_3	Label_99	LatOrbitoFrontal
100	L_Salience_7	Label_100	Salience
101	L_PreCentFrontoParietal_2	Label_101	PreCentFrontoParietal
102	L_Insula_3	Label_102	Insula
103	L_DorsalAttn_6	Label_103	DorsalAttn
104	L_DorsalAttn_7	Label_104	DorsalAttn
105	L_DorsalAttn_8	Label_105	DorsalAttn
106	L_AntFrontoParietal_1	Label_106	AntFrontoParietal
107	L_AntDefault_5	Label_107	AntDefault
108	L_MedOrbitoFrontal_2	Label_108	MedOrbitoFrontal
109	L_LatOrbitoFrontal_4	Label_109	LatOrbitoFrontal
110	L_Salience_8	Label_110	Salience
111	L_AntDefault_6	Label_111	AntDefault
112	L_AntDefault_7	Label_112	AntDefault
113	L_PostDefault_15	Label_113	PostDefault
114	L_PostDefault_16	Label_114	PostDefault
115	L_VentralAttn_5	Label_115	VentralAttn
116	L_MedialVisual_7	Label_116	MedialVisual
117	L_MedialVisual_8	Label_117	MedialVisual
118	L_None_1	Label_118	Unassigned
119	L_MedialVisual_9	Label_119	MedialVisual
120	L_LateralVisual_12	Label_120	LateralVisual
121	L_LateralVisual_13	Label_121	LateralVisual
122	L_LateralVisual_14	Label_122	LateralVisual
123	L_LateralVisual_15	Label_123	LateralVisual
124	L_MedialVisual_10	Label_124	MedialVisual
125	L_MedialVisual_11	Label_125	MedialVisual
126	L_MedialVisual_12	Label_126	MedialVisual
127	L_MedialVisual_13	Label_127	MedialVisual
128	L_MedialVisual_14	Label_128	MedialVisual
129	L_MedialVisual_15	Label_129	MedialVisual
130	L_MedialVisual_16	Label_130	MedialVisual
131	L_MedialVisual_17	Label_131	MedialVisual
132	L_None_2	Label_132	Unassigned
133	L_MedialVisual_18	Label_133	MedialVisual
134	L_AntFrontoParietal_2	Label_134	AntFrontoParietal
135	L_AntDefault_8	Label_135	AntDefault
136	L_AntFrontoParietal_3	Label_136	AntFrontoParietal
137	L_AntDefault_9	Label_137	AntDefault
138	L_AntDefault_10	Label_138	AntDefault
139	L_AntDefault_11	Label_139	AntDefault
140	L_PreCentFrontoParietal_3	Label_140	PreCentFrontoParietal
141	L_PreCentFrontoParietal_4	Label_141	PreCentFrontoParietal
142	L_Auditory_11	Label_142	Auditory
143	L_VentralAttn_6	Label_143	VentralAttn
144	L_VentralAttn_7	Label_144	VentralAttn
145	L_VentralAttn_8	Label_145	VentralAttn
146	L_PostDefault_17	Label_146	PostDefault
147	R_PostDefault_18	Label_147	PostDefault
148	R_SupMotor_8	Label_148	SupMotor
149	R_InfMotor_10	Label_149	InfMotor
150	R_AntDefault_12	Label_150	AntDefault
151	R_LateralVisual_16	Label_151	LateralVisual
152	R_PostDefault_19	Label_152	PostDefault
153	R_PostDefault_20	Label_153	PostDefault
154	R_InfMotor_11	Label_154	InfMotor
155	R_Cingulate_5	Label_155	Cingulate
156	R_MedialVisual_19	Label_156	MedialVisual
157	R_MedialVisual_20	Label_157	MedialVisual
158	R_MedialVisual_21	Label_158	MedialVisual
159	R_MedialVisual_22	Label_159	MedialVisual
160	R_MedialVisual_23	Label_160	MedialVisual
161	R_MedialVisual_24	Label_161	MedialVisual
162	R_SupMotor_9	Label_162	SupMotor
163	R_Salience_9	Label_163	Salience
164	R_Salience_10	Label_164	Salience
165	R_Cingulate_6	Label_165	Cingulate
166	R_Cingulate_7	Label_166	Cingulate
167	R_Salience_11	Label_167	Salience
168	R_PostDefault_21	Label_168	PostDefault
169	R_SupMotor_10	Label_169	SupMotor
170	R_AntPrecuneus_3	Label_170	AntPrecuneus
171	R_InfPrecuneus_2	Label_171	InfPrecuneus
172	R_AntPrecuneus_4	Label_172	AntPrecuneus
173	R_SupMotor_11	Label_173	SupMotor
174	R_SupMotor_12	Label_174	SupMotor
175	R_AntDefault_13	Label_175	AntDefault
176	R_SupMotor_13	Label_176	SupMotor
177	R_SupMotor_14	Label_177	SupMotor
178	R_AntPreMotor_3	Label_178	AntPreMotor
179	R_SupMotor_15	Label_179	SupMotor
180	R_PostPreMotor_3	Label_180	PostPreMotor
181	R_DorsalAttn_9	Label_181	DorsalAttn
182	R_DorsalAttn_10	Label_182	DorsalAttn
183	R_InfMotor_12	Label_183	InfMotor
184	R_InfMotor_13	Label_184	InfMotor
185	R_PostDefault_22	Label_185	PostDefault
186	R_VentralAttn_9	Label_186	VentralAttn
187	R_Auditory_12	Label_187	Auditory
188	R_Auditory_13	Label_188	Auditory
189	R_PostDefault_23	Label_189	PostDefault
190	R_PostDefault_24	Label_190	PostDefault
191	R_Auditory_14	Label_191	Auditory
192	R_VentralAttn_10	Label_192	VentralAttn
193	R_VentralAttn_11	Label_193	VentralAttn
194	R_Auditory_15	Label_194	Auditory
195	R_VentralAttn_12	Label_195	VentralAttn
196	R_LatOrbitoFrontal_5	Label_196	LatOrbitoFrontal
197	R_Salience_12	Label_197	Salience
198	R_Insula_4	Label_198	Insula
199	R_InfFrontoParietal_3	Label_199	InfFrontoParietal
200	R_MedOrbitoFrontal_3	Label_200	MedOrbitoFrontal
201	R_Salience_13	Label_201	Salience
202	R_Salience_14	Label_202	Salience
203	R_Salience_15	Label_203	Salience
204	R_LatOrbitoFrontal_6	Label_204	LatOrbitoFrontal
205	R_LateralVisual_17	Label_205	LateralVisual
206	R_LateralVisual_18	Label_206	LateralVisual
207	R_PostDefault_25	Label_207	PostDefault
208	R_MedialVisual_25	Label_208	MedialVisual
209	R_MedialVisual_26	Label_209	MedialVisual
210	R_SupPrecuneus_2	Label_210	SupPrecuneus
211	R_PostDefault_26	Label_211	PostDefault
212	R_PostDefault_27	Label_212	PostDefault
213	R_LateralVisual_19	Label_213	LateralVisual
214	R_PostFrontoParietal_2	Label_214	PostFrontoParietal
215	R_LateralVisual_20	Label_215	LateralVisual
216	R_LateralVisual_21	Label_216	LateralVisual
217	R_LateralVisual_22	Label_217	LateralVisual
218	R_PostDefault_28	Label_218	PostDefault
219	R_PostDefault_29	Label_219	PostDefault
220	R_InfMotor_14	Label_220	InfMotor
221	R_InfMotor_15	Label_221	InfMotor
222	R_InfMotor_16	Label_222	InfMotor
223	R_DorsalAttn_11	Label_223	DorsalAttn
224	R_InfMotor_17	Label_224	InfMotor
225	R_DorsalAttn_12	Label_225	DorsalAttn
226	R_PreCentFrontoParietal_5	Label_226	PreCentFrontoParietal
227	R_PreCentFrontoParietal_6	Label_227	PreCentFrontoParietal
