index	label	color_red	color_green	color_blue	opacity
8	CEREBELLUM_LEFT	230	147	33	255
10	THALAMUS_LEFT	0	117	14	255
11	CAUDATE_LEFT	121	186	219	255
12	PUTAMEN_LEFT	235	13	175	255
13	PALLIDUM_LEFT	11	47	255	255
16	BRAIN_STEM	119	158	175	255
17	HIPPOCAMPUS_LEFT	219	216	20	255
18	AMYGDALA_LEFT	103	255	255	255
26	ACCUMBENS_LEFT	255	165	0	255
28	DIENCEPHALON_VENTRAL_LEFT	165	42	42	255
47	CEREBELLUM_RIGHT	230	147	33	255
49	THALAMUS_RIGHT	0	117	14	255
50	CAUDATE_RIGHT	121	186	219	255
51	PUTAMEN_RIGHT	235	13	175	255
52	PALLIDUM_RIGHT	13	47	255	255
53	HIPPOCAMPUS_RIGHT	219	216	20	255
54	AMYGDALA_RIGHT	103	255	255	255
58	ACCUMBENS_RIGHT	255	165	0	255
60	DIENCEPHALON_VENTRAL_RIGHT	165	42	42	255
