index	name	cifti_name
1	Right_V1	Right_V1
2	Right_MST	Right_MST
3	Right_V6	Right_V6
4	Right_V2	Right_V2
5	Right_V3	Right_V3
6	Right_V4	Right_V4
7	Right_V8	Right_V8
8	Right_4	Right_4
9	Right_3b	Right_3b
10	Right_FEF	Right_FEF
11	Right_PEF	Right_PEF
12	Right_55b	Right_55b
13	Right_V3A	Right_V3A
14	Right_RSC	Right_RSC
15	Right_POS2	Right_POS2
16	Right_V7	Right_V7
17	Right_IPS1	Right_IPS1
18	Right_FFC	Right_FFC
19	Right_V3B	Right_V3B
20	Right_LO1	Right_LO1
21	Right_LO2	Right_LO2
22	Right_PIT	Right_PIT
23	Right_MT	Right_MT
24	Right_A1	Right_A1
25	Right_PSL	Right_PSL
26	Right_SFL	Right_SFL
27	Right_PCV	Right_PCV
28	Right_STV	Right_STV
29	Right_7Pm	Right_7Pm
30	Right_7m	Right_7m
31	Right_POS1	Right_POS1
32	Right_23d	Right_23d
33	Right_v23ab	Right_v23ab
34	Right_d23ab	Right_d23ab
35	Right_31pv	Right_31pv
36	Right_5m	Right_5m
37	Right_5mv	Right_5mv
38	Right_23c	Right_23c
39	Right_5L	Right_5L
40	Right_24dd	Right_24dd
41	Right_24dv	Right_24dv
42	Right_7AL	Right_7AL
43	Right_SCEF	Right_SCEF
44	Right_6ma	Right_6ma
45	Right_7Am	Right_7Am
46	Right_7PL	Right_7PL
47	Right_7PC	Right_7PC
48	Right_LIPv	Right_LIPv
49	Right_VIP	Right_VIP
50	Right_MIP	Right_MIP
51	Right_1	Right_1
52	Right_2	Right_2
53	Right_3a	Right_3a
54	Right_6d	Right_6d
55	Right_6mp	Right_6mp
56	Right_6v	Right_6v
57	Right_p24pr	Right_p24pr
58	Right_33pr	Right_33pr
59	Right_a24pr	Right_a24pr
60	Right_p32pr	Right_p32pr
61	Right_a24	Right_a24
62	Right_d32	Right_d32
63	Right_8BM	Right_8BM
64	Right_p32	Right_p32
65	Right_10r	Right_10r
66	Right_47m	Right_47m
67	Right_8Av	Right_8Av
68	Right_8Ad	Right_8Ad
69	Right_9m	Right_9m
70	Right_8BL	Right_8BL
71	Right_9p	Right_9p
72	Right_10d	Right_10d
73	Right_8C	Right_8C
74	Right_44	Right_44
75	Right_45	Right_45
76	Right_47l	Right_47l
77	Right_a47r	Right_a47r
78	Right_6r	Right_6r
79	Right_IFJa	Right_IFJa
80	Right_IFJp	Right_IFJp
81	Right_IFSp	Right_IFSp
82	Right_IFSa	Right_IFSa
83	Right_p9-46v	Right_p9-46v
84	Right_46	Right_46
85	Right_a9-46v	Right_a9-46v
86	Right_9-46d	Right_9-46d
87	Right_9a	Right_9a
88	Right_10v	Right_10v
89	Right_a10p	Right_a10p
90	Right_10pp	Right_10pp
91	Right_11l	Right_11l
92	Right_13l	Right_13l
93	Right_OFC	Right_OFC
94	Right_47s	Right_47s
95	Right_LIPd	Right_LIPd
96	Right_6a	Right_6a
97	Right_i6-8	Right_i6-8
98	Right_s6-8	Right_s6-8
99	Right_43	Right_43
100	Right_OP4	Right_OP4
101	Right_OP1	Right_OP1
102	Right_OP2-3	Right_OP2-3
103	Right_52	Right_52
104	Right_RI	Right_RI
105	Right_PFcm	Right_PFcm
106	Right_PoI2	Right_PoI2
107	Right_TA2	Right_TA2
108	Right_FOP4	Right_FOP4
109	Right_MI	Right_MI
110	Right_Pir	Right_Pir
111	Right_AVI	Right_AVI
112	Right_AAIC	Right_AAIC
113	Right_FOP1	Right_FOP1
114	Right_FOP3	Right_FOP3
115	Right_FOP2	Right_FOP2
116	Right_PFt	Right_PFt
117	Right_AIP	Right_AIP
118	Right_EC	Right_EC
119	Right_PreS	Right_PreS
120	Right_H	Right_H
121	Right_ProS	Right_ProS
122	Right_PeEc	Right_PeEc
123	Right_STGa	Right_STGa
124	Right_PBelt	Right_PBelt
125	Right_A5	Right_A5
126	Right_PHA1	Right_PHA1
127	Right_PHA3	Right_PHA3
128	Right_STSda	Right_STSda
129	Right_STSdp	Right_STSdp
130	Right_STSvp	Right_STSvp
131	Right_TGd	Right_TGd
132	Right_TE1a	Right_TE1a
133	Right_TE1p	Right_TE1p
134	Right_TE2a	Right_TE2a
135	Right_TF	Right_TF
136	Right_TE2p	Right_TE2p
137	Right_PHT	Right_PHT
138	Right_PH	Right_PH
139	Right_TPOJ1	Right_TPOJ1
140	Right_TPOJ2	Right_TPOJ2
141	Right_TPOJ3	Right_TPOJ3
142	Right_DVT	Right_DVT
143	Right_PGp	Right_PGp
144	Right_IP2	Right_IP2
145	Right_IP1	Right_IP1
146	Right_IP0	Right_IP0
147	Right_PFop	Right_PFop
148	Right_PF	Right_PF
149	Right_PFm	Right_PFm
150	Right_PGi	Right_PGi
151	Right_PGs	Right_PGs
152	Right_V6A	Right_V6A
153	Right_VMV1	Right_VMV1
154	Right_VMV3	Right_VMV3
155	Right_PHA2	Right_PHA2
156	Right_V4t	Right_V4t
157	Right_FST	Right_FST
158	Right_V3CD	Right_V3CD
159	Right_LO3	Right_LO3
160	Right_VMV2	Right_VMV2
161	Right_31pd	Right_31pd
162	Right_31a	Right_31a
163	Right_VVC	Right_VVC
164	Right_25	Right_25
165	Right_s32	Right_s32
166	Right_pOFC	Right_pOFC
167	Right_PoI1	Right_PoI1
168	Right_Ig	Right_Ig
169	Right_FOP5	Right_FOP5
170	Right_p10p	Right_p10p
171	Right_p47r	Right_p47r
172	Right_TGv	Right_TGv
173	Right_MBelt	Right_MBelt
174	Right_LBelt	Right_LBelt
175	Right_A4	Right_A4
176	Right_STSva	Right_STSva
177	Right_TE1m	Right_TE1m
178	Right_PI	Right_PI
179	Right_a32pr	Right_a32pr
180	Right_p24	Right_p24
181	Left_V1	Left_V1
182	Left_MST	Left_MST
183	Left_V6	Left_V6
184	Left_V2	Left_V2
185	Left_V3	Left_V3
186	Left_V4	Left_V4
187	Left_V8	Left_V8
188	Left_4	Left_4
189	Left_3b	Left_3b
190	Left_FEF	Left_FEF
191	Left_PEF	Left_PEF
192	Left_55b	Left_55b
193	Left_V3A	Left_V3A
194	Left_RSC	Left_RSC
195	Left_POS2	Left_POS2
196	Left_V7	Left_V7
197	Left_IPS1	Left_IPS1
198	Left_FFC	Left_FFC
199	Left_V3B	Left_V3B
200	Left_LO1	Left_LO1
201	Left_LO2	Left_LO2
202	Left_PIT	Left_PIT
203	Left_MT	Left_MT
204	Left_A1	Left_A1
205	Left_PSL	Left_PSL
206	Left_SFL	Left_SFL
207	Left_PCV	Left_PCV
208	Left_STV	Left_STV
209	Left_7Pm	Left_7Pm
210	Left_7m	Left_7m
211	Left_POS1	Left_POS1
212	Left_23d	Left_23d
213	Left_v23ab	Left_v23ab
214	Left_d23ab	Left_d23ab
215	Left_31pv	Left_31pv
216	Left_5m	Left_5m
217	Left_5mv	Left_5mv
218	Left_23c	Left_23c
219	Left_5L	Left_5L
220	Left_24dd	Left_24dd
221	Left_24dv	Left_24dv
222	Left_7AL	Left_7AL
223	Left_SCEF	Left_SCEF
224	Left_6ma	Left_6ma
225	Left_7Am	Left_7Am
226	Left_7PL	Left_7PL
227	Left_7PC	Left_7PC
228	Left_LIPv	Left_LIPv
229	Left_VIP	Left_VIP
230	Left_MIP	Left_MIP
231	Left_1	Left_1
232	Left_2	Left_2
233	Left_3a	Left_3a
234	Left_6d	Left_6d
235	Left_6mp	Left_6mp
236	Left_6v	Left_6v
237	Left_p24pr	Left_p24pr
238	Left_33pr	Left_33pr
239	Left_a24pr	Left_a24pr
240	Left_p32pr	Left_p32pr
241	Left_a24	Left_a24
242	Left_d32	Left_d32
243	Left_8BM	Left_8BM
244	Left_p32	Left_p32
245	Left_10r	Left_10r
246	Left_47m	Left_47m
247	Left_8Av	Left_8Av
248	Left_8Ad	Left_8Ad
249	Left_9m	Left_9m
250	Left_8BL	Left_8BL
251	Left_9p	Left_9p
252	Left_10d	Left_10d
253	Left_8C	Left_8C
