index	name	cifti_name
1	HIP-head-m-rh	HIP-head-m-rh
2	HIP-head-l-rh	HIP-head-l-rh
3	HIP-body-rh	HIP-body-rh
4	HIP-tail-rh	HIP-tail-rh
5	THA-VPm-rh	THA-VPm-rh
6	THA-VPl-rh	THA-VPl-rh
7	THA-VAi-rh	THA-VAi-rh
8	THA-VAs-rh	THA-VAs-rh
9	THA-DAm-rh	THA-DAm-rh
10	THA-DAl-rh	THA-DAl-rh
11	PUT-VA-rh	PUT-VA-rh
12	PUT-DA-rh	PUT-DA-rh
13	PUT-VP-rh	PUT-VP-rh
14	PUT-DP-rh	PUT-DP-rh
15	CAU-VA-rh	CAU-VA-rh
16	CAU-DA-rh	CAU-DA-rh
17	CAU-body-rh	CAU-body-rh
18	CAU-tail-rh	CAU-tail-rh
19	lAMY-rh	lAMY-rh
20	mAMY-rh	mAMY-rh
21	THA-DP-rh	THA-DP-rh
22	NAc-shell-rh	NAc-shell-rh
23	NAc-core-rh	NAc-core-rh
24	pGP-rh	pGP-rh
25	aGP-rh	aGP-rh
26	HIP-head-m-lh	HIP-head-m-lh
27	HIP-head-l-l	HIP-head-l-l
28	HIP-body-l	HIP-body-l
29	HIP-tail-lh	HIP-tail-lh
30	THA-VPm-lh	THA-VPm-lh
31	THA-VPl-lh	THA-VPl-lh
32	THA-VAi-lh	THA-VAi-lh
33	THA-VAs-lh	THA-VAs-lh
34	THA-DAm-lh	THA-DAm-lh
35	THA-DAl-lh	THA-DAl-lh
36	PUT-VA-lh	PUT-VA-lh
37	PUT-DA-l	PUT-DA-l
38	PUT-VP-lh	PUT-VP-lh
39	PUT-DP-lh	PUT-DP-lh
40	CAU-VA-lh	CAU-VA-lh
41	CAU-DA-lh	CAU-DA-lh
42	CAU-body-lh	CAU-body-lh
43	CAU-tail-lh	CAU-tail-lh
44	lAMY-lh	lAMY-lh
45	mAMY-lh	mAMY-lh
46	THA-DP-lh	THA-DP-lh
47	NAc-shell-lh	NAc-shell-lh
48	NAc-core-lh	NAc-core-lh
49	pGP-lh	pGP-lh
50	aGP-lh	aGP-lh
