index	name
1	L_Default_1
2	L_SMhand_2
3	L_SMmouth_3
4	L_Default_4
5	L_Visual_5
6	L_Default_6
7	L_FrontoParietal_7
8	L__8
9	L__9
10	L_Auditory_10
11	L_None_11
12	L_CinguloParietal_12
13	L_RetrosplenialTemporal_13
14	L_RetrosplenialTemporal_14
15	L_Visual_15
16	L_Visual_16
17	L_Visual_17
18	L__18
19	L__19
20	L__20
21	L_CinguloOperc_21
22	L_CinguloOperc_22
23	L_VentralAttn_23
24	L_FrontoParietal_24
25	L_Default_25
26	L_Default_26
27	L_CinguloOperc_27
28	L_CinguloOperc_28
29	L_Salience_29
30	L_SMhand_30
31	L_SMhand_31
32	L_SMhand_32
33	L_SMhand_33
34	L_CinguloOperc_34
35	L_SMhand_35
36	L_SMhand_36
37	L_SMhand_37
38	L_SMhand_38
39	L_SMmouth_39
40	L_CinguloOperc_40
41	L_DorsalAttn_41
42	L_DorsalAttn_42
43	L_DorsalAttn_43
44	L_Default_44
45	L_SMhand_45
46	L_SMhand_46
47	L_SMhand_47
48	L_SMhand_48
49	L_DorsalAttn_49
50	L_SMhand_50
51	L_DorsalAttn_51
52	L_DorsalAttn_52
53	L_SMmouth_53
54	L_SMhand_54
55	L_DorsalAttn_55
56	L_SMhand_56
57	L_SMhand_57
58	L_SMhand_58
59	L_SMmouth_59
60	L_VentralAttn_60
61	L_VentralAttn_61
62	L_VentralAttn_62
63	L_CinguloOperc_63
64	L_Auditory_64
65	L_Auditory_65
66	L_Auditory_66
67	L_Auditory_67
68	L_Auditory_68
69	L_Auditory_69
70	L_Auditory_70
71	L__71
72	L__72
73	L_None_73
74	L_DorsalAttn_74
75	L_VentralAttn_75
76	L_CinguloOperc_76
77	L_Auditory_77
78	L_FrontoParietal_78
79	L_VentralAttn_79
80	L_VentralAttn_80
81	L_CinguloOperc_81
82	L_CinguloOperc_82
83	L_Salience_83
84	L_CinguloOperc_84
85	L_VentralAttn_85
86	L_VentralAttn_86
87	L_DorsalAttn_87
88	L_DorsalAttn_88
89	L_CinguloParietal_89
90	L_Visual_90
91	L_DorsalAttn_91
92	L_DorsalAttn_92
93	L_CinguloParietal_93
94	L_Default_94
95	L_DorsalAttn_95
96	L_FrontoParietal_96
97	L_Visual_97
98	L__98
99	L_Visual_99
100	L__100
101	L_CinguloOperc_101
102	L_Auditory_102
103	L_CinguloOperc_103
104	L_Auditory_104
105	L_CinguloOperc_105
106	L_DorsalAttn_106
107	L_DorsalAttn_107
108	L_FrontoParietal_108
109	L_FrontoParietal_109
110	L_DorsalAttn_110
111	L_CinguloOperc_111
112	L_CinguloOperc_112
113	L_DorsalAttn_113
114	L_Default_114
115	L_None_115
116	L_Default_116
117	L_Default_117
118	L_None_118
119	L_None_119
120	L_None_120
121	L_None_121
122	L_None_122
123	L_None_123
124	L_None_124
125	L_None_125
126	L__126
127	L__127
128	L__128
129	L_None_129
130	L__130
131	L__131
132	L__132
133	L__133
134	L__134
135	L__135
136	L__136
137	L_Visual_137
138	L__138
139	L__139
140	L__140
141	L__141
142	L__142
143	L__143
144	L__144
145	L_Default_145
146	L_Default_146
147	L_CinguloOperc_147
148	L_FrontoParietal_148
149	L_FrontoParietal_149
150	L_Default_150
151	L_Default_151
152	L_Default_152
153	L_CinguloOperc_153
154	L_Default_154
155	L_DorsalAttn_155
156	L_Default_156
157	L_Default_157
158	L_VentralAttn_158
159	L_None_159
160	L__160
161	L__161
162	R_Default_162
163	R_SMhand_163
164	R_SMmouth_164
165	R_Default_165
166	R_Visual_166
167	R_FrontoParietal_167
168	R_FrontoParietal_168
169	R_Visual_169
170	R_FrontoParietal_170
171	R_Auditory_171
172	R_None_172
173	R_CinguloParietal_173
174	R_RetrosplenialTemporal_174
175	R_Visual_175
176	R_Visual_176
177	R_Visual_177
178	R_None_178
179	R_None_179
180	R_CinguloOperc_180
181	R_CinguloOperc_181
182	R_FrontoParietal_182
183	R_Salience_183
184	R_Default_184
185	R_CinguloOperc_185
186	R_Default_186
187	R_CinguloOperc_187
188	R_CinguloOperc_188
189	R_DorsalAttn_189
190	R_SMhand_190
191	R_SMhand_191
192	R_CinguloOperc_192
193	R_SMhand_193
194	R_SMhand_194
195	R_SMhand_195
196	R_CinguloOperc_196
197	R_SMmouth_197
198	R_CinguloOperc_198
199	R_DorsalAttn_199
200	R_Default_200
201	R_SMhand_201
202	R_SMhand_202
203	R_DorsalAttn_203
204	R_SMhand_204
205	R_SMhand_205
206	R_SMhand_206
207	R_SMhand_207
208	R_DorsalAttn_208
209	R_SMhand_209
210	R_SMhand_210
211	R_DorsalAttn_211
212	R_SMmouth_212
213	R_SMhand_213
214	R_SMhand_214
215	R_SMhand_215
216	R_SMhand_216
217	R_SMhand_217
218	R_SMmouth_218
219	R_CinguloOperc_219
220	R_Default_220
221	R_VentralAttn_221
222	R_VentralAttn_222
223	R_CinguloOperc_223
224	R_Auditory_224
225	R_Default_225
226	R_VentralAttn_226
227	R_Auditory_227
228	R_VentralAttn_228
229	R_VentralAttn_229
230	R_Auditory_230
231	R_VentralAttn_231
232	R_Auditory_232
233	R_Auditory_233
234	R_CinguloOperc_234
235	R_CinguloOperc_235
236	R_DorsalAttn_236
237	R_VentralAttn_237
238	R_CinguloOperc_238
239	R_Auditory_239
240	R_FrontoParietal_240
241	R_VentralAttn_241
242	R_VentralAttn_242
243	R_VentralAttn_243
244	R_Auditory_244
245	R_CinguloOperc_245
246	R_CinguloOperc_246
247	R_Salience_247
248	R_CinguloOperc_248
249	R_CinguloOperc_249
250	R_DorsalAttn_250
251	R_Visual_251
252	R_DorsalAttn_252
253	R_DorsalAttn_253
254	R_CinguloParietal_254
255	R_Visual_255
256	R_Visual_256
257	R_Default_257
258	R_Visual_258
259	R_Default_259
260	R_FrontoParietal_260
261	R_FrontoParietal_261
262	R_DorsalAttn_262
263	R_Visual_263
264	R_Visual_264
265	R_Visual_265
266	R_DorsalAttn_266
267	R_Visual_267
268	R_Auditory_268
269	R_Auditory_269
270	R_SMhand_270
271	R_DorsalAttn_271
272	R_FrontoParietal_272
273	R_FrontoParietal_273
274	R_CinguloOperc_274
275	R_DorsalAttn_275
276	R_FrontoParietal_276
277	R_FrontoParietal_277
278	R_Default_278
279	R_Default_279
280	R_None_280
281	R_None_281
282	R_None_282
283	R_None_283
284	R_None_284
285	R_None_285
286	R_None_286
287	R_None_287
288	R_None_288
289	R_None_289
290	R_Default_290
291	R_None_291
292	R_None_292
293	R_Visual_293
294	R_RetrosplenialTemporal_294
295	R_RetrosplenialTemporal_295
296	R_None_296
297	R_None_297
298	R_Visual_298
299	R_Visual_299
300	R_None_300
301	R_None_301
302	R_None_302
303	R_None_303
304	R_None_304
305	R_None_305
306	R_None_306
307	R_Visual_307
308	R_Visual_308
309	R_Visual_309
310	R_Visual_310
311	R_Visual_311
312	R_None_312
313	R_RetrosplenialTemporal_313
314	R_None_314
315	R_Default_315
316	R_Default_316
317	R_CinguloOperc_317
318	R_CinguloOperc_318
319	R_FrontoParietal_319
320	R_FrontoParietal_320
321	R_Default_321
322	R_Default_322
323	R_Default_323
324	R_Default_324
325	R_Default_325
326	R_Default_326
327	R_FrontoParietal_327
328	R_FrontoParietal_328
329	R_Auditory_329
330	R_Auditory_330
331	R_Default_331
332	R_VentralAttn_332
333	R_VentralAttn_333
