index	name
1	HIP-head-m-rh
2	HIP-head-l-rh
3	HIP-body-rh
4	HIP-tail-rh
5	THA-VPm-rh
6	THA-VPl-rh
7	THA-VAi-rh
8	THA-VAs-rh
9	THA-DAm-rh
10	THA-DAl-rh
11	PUT-VA-rh
12	PUT-DA-rh
13	PUT-VP-rh
14	PUT-DP-rh
15	CAU-VA-rh
16	CAU-DA-rh
17	CAU-body-rh
18	CAU-tail-rh
19	lAMY-rh
20	mAMY-rh
21	THA-DP-rh
22	NAc-shell-rh
23	NAc-core-rh
24	pGP-rh
25	aGP-rh
26	HIP-head-m-lh
27	HIP-head-l-l
28	HIP-body-l
29	HIP-tail-lh
30	THA-VPm-lh
31	THA-VPl-lh
32	THA-VAi-lh
33	THA-VAs-lh
34	THA-DAm-lh
35	THA-DAl-lh
36	PUT-VA-lh
37	PUT-DA-l
38	PUT-VP-lh
39	PUT-DP-lh
40	CAU-VA-lh
41	CAU-DA-lh
42	CAU-body-lh
43	CAU-tail-lh
44	lAMY-lh
45	mAMY-lh
46	THA-DP-lh
47	NAc-shell-lh
48	NAc-core-lh
49	pGP-lh
50	aGP-lh
